You can order via website ckthub.com or whatsapp +919960160016 ,,,Address:Excellaa Plazzo,,
Manufacture Part Number,Manufacturer,Package,Title,Quantity,Price
TCC0402C0G100J500AT,CCTC,402,10pF ±5% 50V Ceramic Capacitor C0G 0402 402 CCTC TCC0402C0G100J500AT RoHS,10000,₹0.10
GJM1555C1H4R7BB01D,muRata,402,4.7pF 50V Ceramic Capacitor C0G 0402 402 muRata GJM1555C1H4R7BB01D RoHS,1000,₹1.97
CGA0402C0G221J500GT,HRE,402,220pF ±5% 50V Ceramic Capacitor C0G 0402 402 HRE CGA0402C0G221J500GT RoHS,10000,₹0.19
RC0402FR-07220KL,YAGEO,402,220kΩ 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount  402 YAGEO RC0402FR-07220KL RoHS,10000,₹0.10
RC0402FR-0749K9L,YAGEO,402,62.5mW 49.9kΩ 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount  402 YAGEO RC0402FR-0749K9L RoHS,10000,₹0.10
CL05B103KB5NNNC,Samsung Electro-Mechanics,402,10nF ±10% 50V Ceramic Capacitor X7R 0402 402 Samsung Electro-Mechanics CL05B103KB5NNNC RoHS,20000,₹0.16
CGA2B2C0G1H120JT0Y0F,TDK,402,12pF ±5% 50V Ceramic Capacitor C0G 0402 402 TDK CGA2B2C0G1H120JT0Y0F RoHS,2000,₹1.07
RC0402FR-072KL,YAGEO,402,2kΩ 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount  402 YAGEO RC0402FR-072KL RoHS,10000,₹0.10
CC0402KRX7R8BB104,YAGEO,402,100nF ±10% 25V Ceramic Capacitor X7R 0402 402 YAGEO CC0402KRX7R8BB104 RoHS,50000,₹0.17
CL05B104KB54PNC,Samsung Electro-Mechanics,402,100nF ±10% 50V Ceramic Capacitor X7R 0402 402 Samsung Electro-Mechanics CL05B104KB54PNC RoHS,10000,₹0.47
RC0402JR-0710KL,YAGEO,402,62.5mW 10kΩ 50V Thick Film Resistor ±100ppm/℃ ±5% 0402 Chip Resistor - Surface Mount 402 YAGEO RC0402JR-0710KL RoHS,10000,₹0.09
RC0402FR-072K2L,YAGEO,402,62.5mW 2.2kΩ 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount 402 YAGEO RC0402FR-072K2L RoHS,10000,₹0.10
RC0402FR-0747RL,YAGEO,402,47Ω 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount 402 YAGEO RC0402FR-0747RL RoHS,10000,₹0.10
RC0402FR-0710KL,YAGEO,402,62.5mW 10kΩ 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount 402 YAGEO RC0402FR-0710KL RoHS,10000,₹0.09
RC0402FR-072RL,YAGEO,402,62.5mW 2Ω 50V Thick Film Resistor ±1% ±200ppm/℃ 0402 Chip Resistor - Surface Mount 402 YAGEO RC0402FR-072RL RoHS,10000,₹0.21
RC0402FR-07470RL,YAGEO,402,62.5mW 470Ω 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount 402 YAGEO RC0402FR-07470RL RoHS,10000,₹0.10
CL05A105KO5NNNC,Samsung Electro-Mechanics,402,1uF ±10% 16V Ceramic Capacitor X5R 0402 402 Samsung Electro-Mechanics CL05A105KO5NNNC RoHS,10000,₹0.26
0603L004YR,Littelfuse,603,Polymeric PTC Resettable Fuse 24V 40mA Surface Mount 0603 603 Littelfuse 0603L004YR RoHS,150,₹11.54
